Number,EvenorOdd,Category
496,Even,Even>200
490,Even,Even>200
487,Odd,Other
471,Odd,Other
463,Odd,Other
457,Odd,Other
451,Odd,Other
445,Odd,Other
442,Even,Even>200
425,Odd,Other
414,Even,Even>200
402,Even,Even>200
398,Even,Even>200
386,Even,Even>200
384,Even,Even>200
382,Even,Even>200
378,Even,Even>200
376,Even,Even>200
371,Odd,Other
367,Odd,Other
359,Odd,Other
333,Odd,Other
330,Even,Even>200
328,Even,Even>200
322,Even,Even>200
316,Even,Even>200
275,Odd,Other
265,Odd,Other
265,Odd,Other
253,Odd,Other
250,Even,Even>200
226,Even,Even>200
213,Odd,Other
211,Odd,Other
196,Even,Other
193,Odd,Other
185,Odd,Other
152,Even,Other
150,Even,Other
130,Even,Other
126,Even,Other
121,Odd,Other
115,Odd,Other
107,Odd,Other
66,Even,Other
65,Odd,Other
54,Even,Other
48,Even,Odd<50
13,Odd,Odd<50
11,Odd,Odd<50
